Title,Date,Rating,Review,City,State,Categories
Slice It Up,2023-03-28 09:43:35,5.0,Absolutely loved it! The crust was perfect and the toppings were fresh.,Tel Aviv,TA,"Late Night, Pizza, Food"
Slice It Up,2024-04-02 09:43:35,4.0,"Pretty good overall, though the sauce could use more flavor.",Tel Aviv,TA,"Italian, Pizza, Dining"
Slice It Up,2023-02-27 09:43:35,2.0,Not great. The pizza was cold when it arrived.,Tel Aviv,TA,"Pizza, Food, Family Friendly"
Holy Mozzarella,2024-03-26 09:43:35,5.0,Absolutely loved it! The crust was perfect and the toppings were fresh.,Tel Aviv,TA,"Italian, Pizza, Dining"
Holy Mozzarella,2024-06-14 09:43:35,5.0,Absolutely loved it! The crust was perfect and the toppings were fresh.,Tel Aviv,TA,"Pizza, Food, Takeout"
Holy Mozzarella,2023-03-16 09:43:35,1.0,Terrible experience. The pizza was burnt and staff were rude.,Tel Aviv,TA,"Pizza, Food, Family Friendly"
Sababa Pizza,2024-04-14 09:43:35,1.0,Terrible experience. The pizza was burnt and staff were rude.,Tel Aviv,TA,"Pizza, Food, Takeout"
Sababa Pizza,2023-02-23 09:43:35,4.0,"Pretty good overall, though the sauce could use more flavor.",Tel Aviv,TA,"Pizza, Food, Family Friendly"
Sababa Pizza,2023-02-24 09:43:35,5.0,Absolutely loved it! The crust was perfect and the toppings were fresh.,Tel Aviv,TA,"Pizza, Restaurants, Fast Food"
Pizza Tel,2025-04-18 09:43:35,4.0,"Pretty good overall, though the sauce could use more flavor.",Tel Aviv,TA,"Pizza, Food, Family Friendly"
Pizza Tel,2024-07-10 09:43:35,5.0,Absolutely loved it! The crust was perfect and the toppings were fresh.,Tel Aviv,TA,"Pizza, Food, Takeout"
Pizza Tel,2023-06-26 09:43:35,3.0,"It was okay, nothing special. The service was a bit slow.",Tel Aviv,TA,"Pizza, Restaurants, Fast Food"
JeruPie,2022-12-13 09:43:35,5.0,Absolutely loved it! The crust was perfect and the toppings were fresh.,Tel Aviv,TA,"Pizza, Restaurants, Fast Food"
JeruPie,2024-01-06 09:43:35,2.0,Not great. The pizza was cold when it arrived.,Tel Aviv,TA,"Italian, Pizza, Dining"
JeruPie,2023-08-11 09:43:35,5.0,Absolutely loved it! The crust was perfect and the toppings were fresh.,Tel Aviv,TA,"Late Night, Pizza, Food"
Crust & Flame,2025-03-20 09:43:35,2.0,Not great. The pizza was cold when it arrived.,Tel Aviv,TA,"Pizza, Food, Family Friendly"
Crust & Flame,2025-03-26 09:43:35,3.0,"It was okay, nothing special. The service was a bit slow.",Tel Aviv,TA,"Late Night, Pizza, Food"
Crust & Flame,2023-12-10 09:43:35,3.0,"It was okay, nothing special. The service was a bit slow.",Tel Aviv,TA,"Pizza, Food, Family Friendly"
Haifa Heat,2024-10-19 09:43:35,4.0,"Pretty good overall, though the sauce could use more flavor.",Tel Aviv,TA,"Pizza, Restaurants, Fast Food"
Haifa Heat,2023-10-30 09:43:35,4.0,"Pretty good overall, though the sauce could use more flavor.",Tel Aviv,TA,"Pizza, Food, Takeout"
Haifa Heat,2024-12-21 09:43:35,2.0,Not great. The pizza was cold when it arrived.,Tel Aviv,TA,"Pizza, Food, Family Friendly"
Negev Pies,2024-07-04 09:43:35,3.0,"It was okay, nothing special. The service was a bit slow.",Tel Aviv,TA,"Italian, Pizza, Dining"
Negev Pies,2024-01-08 09:43:35,2.0,Not great. The pizza was cold when it arrived.,Tel Aviv,TA,"Italian, Pizza, Dining"
Negev Pies,2024-02-18 09:43:35,1.0,Terrible experience. The pizza was burnt and staff were rude.,Tel Aviv,TA,"Italian, Pizza, Dining"
Red Sea Pizza,2024-05-26 09:43:35,4.0,"Pretty good overall, though the sauce could use more flavor.",Tel Aviv,TA,"Pizza, Restaurants, Fast Food"
Red Sea Pizza,2024-06-19 09:43:35,4.0,"Pretty good overall, though the sauce could use more flavor.",Tel Aviv,TA,"Late Night, Pizza, Food"
Red Sea Pizza,2025-01-29 09:43:35,5.0,Absolutely loved it! The crust was perfect and the toppings were fresh.,Tel Aviv,TA,"Late Night, Pizza, Food"
Zion Za,2023-11-15 09:43:35,4.0,"Pretty good overall, though the sauce could use more flavor.",Tel Aviv,TA,"Late Night, Pizza, Food"
Zion Za,2023-11-14 09:43:35,2.0,Not great. The pizza was cold when it arrived.,Tel Aviv,TA,"Pizza, Food, Family Friendly"
Zion Za,2024-06-29 09:43:35,3.0,"It was okay, nothing special. The service was a bit slow.",Tel Aviv,TA,"Italian, Pizza, Dining"
Slice It Up,2024-05-29 09:43:35,4.0,"Pretty good overall, though the sauce could use more flavor.",Jerusalem,JM,"Pizza, Food, Takeout"
Slice It Up,2024-12-21 09:43:35,4.0,"Pretty good overall, though the sauce could use more flavor.",Jerusalem,JM,"Pizza, Food, Takeout"
Slice It Up,2024-10-02 09:43:35,1.0,Terrible experience. The pizza was burnt and staff were rude.,Jerusalem,JM,"Italian, Pizza, Dining"
Holy Mozzarella,2024-07-22 09:43:35,4.0,"Pretty good overall, though the sauce could use more flavor.",Jerusalem,JM,"Pizza, Restaurants, Fast Food"
