Title,Date,Rating,Review,City,State,Categories
Mamma Pizza Joint,2023-09-21 00:00:00,4.0,"Okay experience, the pizza was average.",Tel Aviv,IL,"Pizza, Restaurants, Fast Food"
Mamma Pizza Joint,2020-01-09 00:00:00,4.0,Average place. Quick service but bland flavor.,Tel Aviv,IL,"Pizza, Restaurants, Fast Food"
Mamma Pizza Joint,2021-06-11 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Tel Aviv,IL,"Pizza, Restaurants, Fast Food"
Dough Oven Express,2022-04-05 00:00:00,5.0,"The sauce was rich and flavorful, and the dough was perfectly baked.",Tel Aviv,IL,"Pizza, Restaurants, Fast Food"
Dough Oven Express,2022-01-11 00:00:00,5.0,Absolutely loved it! The crust was perfect and the toppings were fresh.,Tel Aviv,IL,"Pizza, Restaurants, Fast Food"
Dough Oven Express,2021-04-26 00:00:00,5.0,Absolutely loved it! The crust was perfect and the toppings were fresh.,Tel Aviv,IL,"Pizza, Restaurants, Fast Food"
Slice Oven Taste,2023-10-14 00:00:00,5.0,Outstanding service and even better pizza!,Tel Aviv,IL,"Pizza, Restaurants, Fast Food"
Slice Oven Taste,2022-09-14 00:00:00,4.0,"Not bad, could be better with fresher ingredients.",Tel Aviv,IL,"Pizza, Restaurants, Fast Food"
Slice Oven Taste,2023-03-26 00:00:00,3.0,The cheese was rubbery and the sauce was watery.,Tel Aviv,IL,"Pizza, Restaurants, Fast Food"
Dough Kitchen Joint,2022-03-22 00:00:00,3.0,The cheese was rubbery and the sauce was watery.,Tel Aviv,IL,"Pizza, Restaurants, Fast Food"
Dough Kitchen Joint,2022-09-15 00:00:00,5.0,Outstanding service and even better pizza!,Tel Aviv,IL,"Pizza, Restaurants, Fast Food"
Dough Kitchen Joint,2024-09-26 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Tel Aviv,IL,"Pizza, Restaurants, Fast Food"
Brick Corner House,2024-09-14 00:00:00,4.0,"Okay experience, the pizza was average.",Tel Aviv,IL,"Pizza, Restaurants, Fast Food"
Brick Corner House,2023-11-02 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Tel Aviv,IL,"Pizza, Restaurants, Fast Food"
Brick Corner House,2024-03-20 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Tel Aviv,IL,"Pizza, Restaurants, Fast Food"
Napoli Crust Slice,2024-07-31 00:00:00,4.0,"Okay experience, the pizza was average.",Jerusalem,IL,"Pizza, Restaurants, Fast Food"
Napoli Crust Slice,2022-12-30 00:00:00,5.0,Absolutely loved it! The crust was perfect and the toppings were fresh.,Jerusalem,IL,"Pizza, Restaurants, Fast Food"
Napoli Crust Slice,2020-04-06 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Jerusalem,IL,"Pizza, Restaurants, Fast Food"
Luigi's Pizzeria Delight,2020-12-28 00:00:00,4.0,"Okay experience, the pizza was average.",Jerusalem,IL,"Pizza, Restaurants, Fast Food"
Luigi's Pizzeria Delight,2022-09-05 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Jerusalem,IL,"Pizza, Restaurants, Fast Food"
Luigi's Pizzeria Delight,2024-11-03 00:00:00,4.0,Average place. Quick service but bland flavor.,Jerusalem,IL,"Pizza, Restaurants, Fast Food"
Napoli Oven Factory,2022-09-23 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Jerusalem,IL,"Pizza, Restaurants, Fast Food"
Napoli Oven Factory,2023-11-01 00:00:00,5.0,Outstanding service and even better pizza!,Jerusalem,IL,"Pizza, Restaurants, Fast Food"
Napoli Oven Factory,2020-03-23 00:00:00,5.0,Outstanding service and even better pizza!,Jerusalem,IL,"Pizza, Restaurants, Fast Food"
Napoli Pizzeria Vibes,2023-11-17 00:00:00,3.0,"Not impressed, the pizza arrived cold and overcooked.",Jerusalem,IL,"Pizza, Restaurants, Fast Food"
Napoli Pizzeria Vibes,2020-06-30 00:00:00,5.0,Absolutely loved it! The crust was perfect and the toppings were fresh.,Jerusalem,IL,"Pizza, Restaurants, Fast Food"
Napoli Pizzeria Vibes,2020-01-15 00:00:00,5.0,Outstanding service and even better pizza!,Jerusalem,IL,"Pizza, Restaurants, Fast Food"
Luigi's Spot House,2020-10-30 00:00:00,4.0,"Decent pizza, but nothing extraordinary.",Jerusalem,IL,"Pizza, Restaurants, Fast Food"
Luigi's Spot House,2024-10-15 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Jerusalem,IL,"Pizza, Restaurants, Fast Food"
Luigi's Spot House,2022-09-01 00:00:00,4.0,"Not bad, could be better with fresher ingredients.",Jerusalem,IL,"Pizza, Restaurants, Fast Food"
Mamma Oven Time,2023-12-09 00:00:00,5.0,"The sauce was rich and flavorful, and the dough was perfectly baked.",Haifa,IL,"Pizza, Restaurants, Fast Food"
Mamma Oven Time,2022-08-01 00:00:00,3.0,"Not impressed, the pizza arrived cold and overcooked.",Haifa,IL,"Pizza, Restaurants, Fast Food"
Mamma Oven Time,2023-10-26 00:00:00,3.0,Too salty and the service was slow.,Haifa,IL,"Pizza, Restaurants, Fast Food"
Slice Spot Time,2022-07-28 00:00:00,3.0,Mediocre at best. Needs improvement.,Haifa,IL,"Pizza, Restaurants, Fast Food"
Slice Spot Time,2021-08-20 00:00:00,4.0,"Not bad, could be better with fresher ingredients.",Haifa,IL,"Pizza, Restaurants, Fast Food"
Slice Spot Time,2024-12-04 00:00:00,5.0,Outstanding service and even better pizza!,Haifa,IL,"Pizza, Restaurants, Fast Food"
Papa Place Heaven,2023-09-02 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Haifa,IL,"Pizza, Restaurants, Fast Food"
Papa Place Heaven,2022-09-07 00:00:00,4.0,Average place. Quick service but bland flavor.,Haifa,IL,"Pizza, Restaurants, Fast Food"
Papa Place Heaven,2022-06-09 00:00:00,5.0,Outstanding service and even better pizza!,Haifa,IL,"Pizza, Restaurants, Fast Food"
Gusto Pie House,2021-01-22 00:00:00,4.0,"The pizza was fine, but I've had better.",Haifa,IL,"Pizza, Restaurants, Fast Food"
Gusto Pie House,2022-02-15 00:00:00,4.0,Average place. Quick service but bland flavor.,Haifa,IL,"Pizza, Restaurants, Fast Food"
Gusto Pie House,2022-08-18 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Haifa,IL,"Pizza, Restaurants, Fast Food"
Slice Spot Taste,2023-07-26 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Haifa,IL,"Pizza, Restaurants, Fast Food"
Slice Spot Taste,2021-08-20 00:00:00,5.0,Absolutely loved it! The crust was perfect and the toppings were fresh.,Haifa,IL,"Pizza, Restaurants, Fast Food"
Slice Spot Taste,2022-09-12 00:00:00,5.0,"The sauce was rich and flavorful, and the dough was perfectly baked.",Haifa,IL,"Pizza, Restaurants, Fast Food"
Mamma Pizzeria Delight,2024-09-13 00:00:00,3.0,Disappointing. The crust was soggy and the toppings lacked flavor.,Beer Sheva,IL,"Pizza, Restaurants, Fast Food"
Mamma Pizzeria Delight,2020-06-16 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Beer Sheva,IL,"Pizza, Restaurants, Fast Food"
Mamma Pizzeria Delight,2023-02-14 00:00:00,5.0,Outstanding service and even better pizza!,Beer Sheva,IL,"Pizza, Restaurants, Fast Food"
Oven Bistro Heaven,2021-11-09 00:00:00,5.0,Outstanding service and even better pizza!,Beer Sheva,IL,"Pizza, Restaurants, Fast Food"
Oven Bistro Heaven,2022-10-29 00:00:00,3.0,Too salty and the service was slow.,Beer Sheva,IL,"Pizza, Restaurants, Fast Food"
Oven Bistro Heaven,2023-07-17 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Beer Sheva,IL,"Pizza, Restaurants, Fast Food"
Brick Bistro House,2022-10-29 00:00:00,5.0,Absolutely loved it! The crust was perfect and the toppings were fresh.,Beer Sheva,IL,"Pizza, Restaurants, Fast Food"
Brick Bistro House,2021-02-20 00:00:00,5.0,"The sauce was rich and flavorful, and the dough was perfectly baked.",Beer Sheva,IL,"Pizza, Restaurants, Fast Food"
Brick Bistro House,2021-10-03 00:00:00,5.0,Outstanding service and even better pizza!,Beer Sheva,IL,"Pizza, Restaurants, Fast Food"
Luigi's Spot Delight,2020-02-25 00:00:00,5.0,Outstanding service and even better pizza!,Beer Sheva,IL,"Pizza, Restaurants, Fast Food"
Luigi's Spot Delight,2022-02-13 00:00:00,4.0,Average place. Quick service but bland flavor.,Beer Sheva,IL,"Pizza, Restaurants, Fast Food"
Luigi's Spot Delight,2022-07-25 00:00:00,4.0,"Okay experience, the pizza was average.",Beer Sheva,IL,"Pizza, Restaurants, Fast Food"
Mamma Pie Taste,2023-04-12 00:00:00,5.0,Absolutely loved it! The crust was perfect and the toppings were fresh.,Beer Sheva,IL,"Pizza, Restaurants, Fast Food"
Mamma Pie Taste,2024-09-15 00:00:00,5.0,"The sauce was rich and flavorful, and the dough was perfectly baked.",Beer Sheva,IL,"Pizza, Restaurants, Fast Food"
Mamma Pie Taste,2023-03-24 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Beer Sheva,IL,"Pizza, Restaurants, Fast Food"
Mamma Pizza Slice,2023-04-19 00:00:00,5.0,"The sauce was rich and flavorful, and the dough was perfectly baked.",Eilat,IL,"Pizza, Restaurants, Fast Food"
Mamma Pizza Slice,2022-06-22 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Eilat,IL,"Pizza, Restaurants, Fast Food"
Mamma Pizza Slice,2024-05-13 00:00:00,5.0,Outstanding service and even better pizza!,Eilat,IL,"Pizza, Restaurants, Fast Food"
Gusto Crust Vibes,2021-08-23 00:00:00,5.0,Absolutely loved it! The crust was perfect and the toppings were fresh.,Eilat,IL,"Pizza, Restaurants, Fast Food"
Gusto Crust Vibes,2020-02-04 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Eilat,IL,"Pizza, Restaurants, Fast Food"
Gusto Crust Vibes,2020-07-25 00:00:00,4.0,"Decent pizza, but nothing extraordinary.",Eilat,IL,"Pizza, Restaurants, Fast Food"
Napoli Corner Vibes,2023-04-21 00:00:00,5.0,Outstanding service and even better pizza!,Eilat,IL,"Pizza, Restaurants, Fast Food"
Napoli Corner Vibes,2021-10-28 00:00:00,5.0,Absolutely loved it! The crust was perfect and the toppings were fresh.,Eilat,IL,"Pizza, Restaurants, Fast Food"
Napoli Corner Vibes,2023-11-19 00:00:00,5.0,"The sauce was rich and flavorful, and the dough was perfectly baked.",Eilat,IL,"Pizza, Restaurants, Fast Food"
Slice Crust Factory,2021-10-31 00:00:00,4.0,"Not bad, could be better with fresher ingredients.",Eilat,IL,"Pizza, Restaurants, Fast Food"
Slice Crust Factory,2022-05-05 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Eilat,IL,"Pizza, Restaurants, Fast Food"
Slice Crust Factory,2023-05-22 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Eilat,IL,"Pizza, Restaurants, Fast Food"
